2022-12-02 16:44:12.1265|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:44:12.1430|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:44:12.1430|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:44:12.1430|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:44:12.1430|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:44:12.1430|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:44:28.1242|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:44:28.1426|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:44:28.1426|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:44:28.1426|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:44:28.1426|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:44:28.1426|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:44:42.9273|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:44:42.9469|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:44:42.9469|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:44:42.9469|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:44:42.9469|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:44:42.9469|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:45:30.1415|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:45:30.1722|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:45:30.1722|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:45:30.1722|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:45:30.1722|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:45:30.1722|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:47:34.2250|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:47:34.2493|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:47:34.2497|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:47:34.2497|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:47:34.2497|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:47:34.2497|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 16:51:07.3991|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 16:51:07.4192|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 16:51:07.4192|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 16:51:07.4192|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 16:51:07.4192|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 16:51:07.4192|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 17:17:40.8691|INFO|ChatbotConstructorTelegram.ViewModels.MainWindowViewModel|Главное окно успешно запущено| 
2022-12-02 17:17:46.4119|ERROR|ChatbotConstructorTelegram.View.Window.MainWindow|An error occurred trying to start process 'C:\Koren\delo' with working directory 'C:\Users\fdkir\OneDrive\Рабочий стол\Диплом\Project\ChatbotConstructorTelegram\ChatbotConstructorTelegram\bin\Debug\net6.0-windows'. Не удается найти указанный файл.| 
2022-12-02 17:17:51.3188|INFO|ChatbotConstructorTelegram.View.Window.MainWindow|Создание проекта| 
2022-12-02 17:18:01.4834|INFO|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Inicialization| 
2022-12-02 17:18:01.4834|TRACE|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Trace| 
2022-12-02 17:18:01.4834|WARN|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Warn| 
2022-12-02 17:18:01.4834|ERROR|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Erorr| 
2022-12-02 17:18:01.4834|FATAL|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Fatal| 
2022-12-02 17:18:01.4834|DEBUG|ChatbotConstructorTelegram.ViewModels.ProjectWindowViewModel|Debug| 
2022-12-02 17:18:01.5059|INFO|ChatbotConstructorTelegram.View.Window.CreationProjectWindow|Проверка пройдена запущен проект gsfdfsdfsdfsdf путь C:\Users\fdkir\OneDrive\Рабочий стол\EasyBot\Project\MVVM| 
2022-12-02 17:18:01.5472|INFO|ChatbotConstructorTelegram.ViewModels.CreationProjectViewModel|Введенные данные успешно сохранены| 
2022-12-02 17:48:18.2926|INFO|ChatbotConstructorTelegram.ViewModels.MainWindowViewModel|Главное окно успешно запущено| 
